place_name,rating,shop_type,sentence,TargetAspect
LASA DAVAO,5,coffee,"With a diverse menu, creative craft brews, and a cozy atmosphere, it offers a unique dining experience.",Ambiance and Atmosphere
"PICKUP COFFEE - Plaza de Bole, Torres St.",5,coffee,The coffee here is a steal for the price!,Price and Value
Mori & Mill,1,coffee,Not worth the price.,Price and Value
Starbucks - SM City Davao,4,coffee,"Another thing is that we told the person in the cashier that the order was to go, but when we looked at the receipt, it said 'for here'.",Customer Service
Into D' Woods,5,coffee,Thank youuuuu Kuya  check_mark_button  big serving  check_mark_button  best taste  check_mark_button  instagrammable (don't go in the rain)  check_mark_button  service (super friendly!),Customer Service
Zooz Wooz Cafe,4,coffee,"They have meals, sandwiches and coffee.",Product Quality
Café Joa,1,coffee,The food is slow but not tasty.,Product Quality
Craft Coffee & Roastery,4,coffee,it took around 20 minutes to prepare even though i was the only customer inside the café and there were three staff at the coffee bar.,Product Quality
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash  …,Ambiance and Atmosphere
Daleachious Cafe - Ecoland Branch,3,coffee,"You might want to consider getting another supplier for your cake, because improvement for a young cafe is crucial.",Product Quality
Starbucks - Matina IT Park,3,coffee,Overpriced coffee,Price and Value
The Secret Garden Cafe,5,coffee,"However, their space is small and they don't take walk-ins so you need to book ahead if you want to visit.",Facilities and Amenities
The Coffee Bar at GMall of Davao,5,coffee,"Best Food, Best Service, Best Atmosphere.",Ambiance and Atmosphere
Just Coffee & Sip,5,coffee,We passed this yesterday and thankfully it's still open on Maundy Thursday.,Store Operations and Accessibility
Seattle's Best Coffee,4,coffee,The best thing though is the ambiance of the place and just the location itself.,Store Operations and Accessibility
Coffeecat,5,coffee,Worth the price  OK_hand  …,Price and Value
Cafe Demitasse,4,coffee,Yummy food,Product Quality
Karlo's Gourmet & Coffee,5,coffee,Karlos Gourmet & Coffee has a cozy vibe and unique menu selections.,Ambiance and Atmosphere
Kafih - Davao,5,coffee,Food is excellent.,Product Quality
Knto Cinco - Puan Branch,1,coffee,Love the place because it's accessible in the Puan area.,Store Operations and Accessibility
MYLK Cafe,5,matcha,Quiet and chill place,Ambiance and Atmosphere
PAOLINE CAFE,5,coffee,Even the spanish latte!,Product Quality
Cafe Demitasse,4,coffee,"Good food, mouthwatering garlic salmon dish.",Product Quality
Whisk Davao Matcha,5,matcha,"The strawberry matcha had that perfect mix of sweetness and earthy matcha flavor, superrrr refreshing!",Product Quality
Knto Cinco - Puan Branch,2,coffee,"Their socials stated they open at 12 PM, and the signage outside also indicated they were open.",Store Operations and Accessibility
Kotetsu by Wood and Coffee,2,coffee,"The drinks were just delivered to the table, water is self-service, and even tissues are self-service.",Customer Service
Whisk Davao Matcha,5,matcha,The best matcha place in Davao red_heart  red_heart  red_heart,Product Quality
JAS Caffeinated,4,coffee,Drinks are good.,Product Quality
Sipscape Cafe,5,coffee,"It's a safe space for college students to study, people to work, or friends to meet!",Facilities and Amenities
Alkemi - Matcha & Juicery Bar,4,matcha,There was parking available  smiling_face_with_smiling_eyes  Relatively few seats available …,Store Operations and Accessibility
Wood and Coffee Davao,5,coffee,Art work is a gold mine here.,Facilities and Amenities
Coffee at Yellow Hauz,5,coffee,"Great ambiance for work, good WiFi & coffee.",Ambiance and Atmosphere
KISOM Atelier,5,matcha,"I love the aesthetics, matcha quality and the atmosphere very calm and relaxing.",Ambiance and Atmosphere
Binnamon Cafe,5,matcha,Best Matcha in town  hundred_points  hundred_points  hundred_points  hundred_points  …,Product Quality
Kafih - Davao,5,coffee,"The food was delicious, the coffee was exceptional, and the internet connection was flawless—perfect for working remotely.",Facilities and Amenities
Kafih - Davao,5,coffee,Accomodating staffs and affordable food  red_heart  they also have free wifi and outlets.,Product Quality
Seattle's Best Coffee,1,coffee,I also requested for decaf but the cashier said their drinks are already pre-mixed.,Product Quality
Coffeepaste Davao,4,coffee,"I just think this isn't a good place to study tho, it was kind of noisy when we got there (maybe it's a lot more quiet during the night).",Facilities and Amenities
Cafe Demitasse,4,coffee,Its a good meetup place for coffee and cakes.,Product Quality
KISOM Atelier,5,matcha,one of the good matcha place near addu ive tried hehe,Product Quality
Dear Joe Frontera,1,coffee,Drinks like zagu.,Product Quality
Annipie @ The Farm,5,coffee,"Nonetheless, food was good.",Product Quality
Happy Valley Cafe Davao,5,coffee,Parking is also convenient.,Store Operations and Accessibility
The Secret Garden Cafe,5,coffee,So many options for their handcrafted signature drinks.,Product Quality
Starbucks - SM City Davao,5,coffee,Great taste,Product Quality
The Limestone Brew,5,coffee,"It's a nice spot to work, relax, and hang out, with good food and drinks to enjoy the island vibes.",Product Quality
Hid'n Coffee,5,coffee,So I was very comfortable with my iced milo coffee and a chorizo wrap.,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,Friendly staff!,Customer Service
Outlook,5,coffee,Their Strawberry Matcha is my fave!,Product Quality
The Limestone Brew,3,coffee,"The coffee at this place is exceptional, and the service is top-notch.",Customer Service
Finca,4,coffee,"The cafe itself is on the smaller side, but it has a cozy and aesthetic vibe.",Ambiance and Atmosphere
The Beehive Cafe Davao,5,coffee,"great food, nice ambiance.",Product Quality
Solace - Coffee Club,5,coffee,They serve great drinks and tasty food esp.,Product Quality
ROOFTOP Café Bar,1,coffee,"The food was subpar, and the service left much to be desired.",Customer Service
Coffee Hub,4,coffee,"Convenient, available 24/7, accessible— location is in downtown, and very accomodating staff.",Customer Service
Purge Coffee Roaster,5,coffee,I ordered an espresso with mule and surprisingly the drink is good and refreshing.,Product Quality
Cafe Tavera,5,coffee,Special mention to Ben Hur and the staff A+ service.,Customer Service
The Coffee Bar at GMall of Davao,5,coffee,Good customer service,Customer Service
Beholden Coffee Experience - CM Recto,5,coffee,Great atmosphere for work mode  beaming_face_with_smiling_eyes  enjoyed my milo-milo latte while catching deadlines  relieved_face,Product Quality
Fourth Street Cafe,5,coffee,"Yummy food, good service",Product Quality
Starbucks,5,coffee,A bit crowded as usual.,Ambiance and Atmosphere
Paramount Coffee Crocodile Park Davao,1,coffee,The coffee lacked flavor and the cold brew ice cubes were excessively large.,Product Quality
Kingdom Cafe & Bistro,5,coffee,"From their delicious coffee and scrumptious food to their cozy ambiance and outstanding service, it's a place where you can relax, unwind, and indulge in a truly delightful coffee shop experience.",Product Quality
Coffee By The Way,3,coffee,"The place is nice, but the food is not commendable.",Product Quality
Hills and Valleys Coffee - Buhangin Davao,5,coffee,Coffee tastes premium.,Product Quality
MYLK Cafe,5,matcha,My favorite is their matcha.,Product Quality
PICKUP COFFEE - Davao Finance Center,5,coffee,Delicious coffee!,Product Quality
Wood and Coffee Davao,5,coffee,Wifi was fast and free.,Facilities and Amenities
Kiks Davao,4,coffee,Was told to use the spoon to scoop the coffee at the bottom.,Product Quality
Es.cafe,2,coffee,"The food, service, and atmosphere are all solid B's.",Product Quality
The Coffee Bar at GMall of Davao,5,coffee,I love their coffee,Product Quality
Kopi lah Roti,4,coffee,"Very good service, kind peps and food is delish!!!",Customer Service
Knto Cinco - Lapu Lapu,5,matcha,"The service was excellent, with friendly and attentive staff, and the huge parking space made the visit very convenient.",Facilities and Amenities
Craft Coffee & Roastery,5,coffee,check_mark_button  Professional service and fast serving time added to the great experience.,Customer Service
JAS Caffeinated,5,coffee,I was scrolling through Davao Coffee Experience IG and bump into their posts about Jas Caffeinated which was near our place.,Product Quality
"10,000 Reasons Cafe",5,coffee,It's incredibly cohesive for both deep-work sessions and Bible studies.,Facilities and Amenities
Haron's Cafe,4,coffee,It's a halal restaurant offering delicious food choices.,Product Quality
Starbucks - Matina IT Park,4,coffee,Good Internet Connection...,Facilities and Amenities
Hygge Coffee,3,coffee,"The food here tastes decent, but the serving sizes are very small for the price.",Price and Value
Dropby Kopi,5,coffee,"Their best seller was salted caramel , Spanish latte and matcha for non caffeine lover good for the tight budget and the place was typical retro chill vibes where you can drop by and good to go.",Product Quality
REVEL by Confex,5,coffee,"love the place its cozy, they have wifi, and sockets.",Facilities and Amenities
Coffeecat,5,coffee,"I tried their matcha with coconut water for the first time, and it was impressive!",Product Quality
Green Coffee - Marfori,3,coffee,"Nothing special, but a good place to hang out and work (to kill time)",Facilities and Amenities
Coffee Hub,4,coffee,The coffee is great but a little disappointed in the food.,Product Quality
Annipie,4,coffee,"On the positive side, the staff were helpful, friendly and courteous and the place was very clean.",Customer Service
Annipie Roxas,5,coffee,Had both lunch and dinner here and asked the staff what's their less popular but highly recommended dish.,Customer Service
Fourth Street Cafe,5,coffee,One of the few good coffee here in davao.,Product Quality
WORK CO COWORKING MATINA BRANCH,5,coffee,I just passed the interview and thanks to you for the comfortable space.,Facilities and Amenities
Indahouse Cafe,2,coffee,"Taste-wise, it wasn't anything special.",Product Quality
The Crazy Bite Co. Sky Cafe,5,coffee,"The food is excellent,absolutely delicious,and the staff are caring and friendly .",Customer Service
Green Bread - Matina,5,coffee,Very aesthetic place good service and the staff so friendly and especially to the chef lami mag luto kudos to all balik balik kami <3,Ambiance and Atmosphere
Curiore Cafe,5,coffee,"Best place for me-time, relax, and enjoy coffee!",Product Quality
BRGR Alley Café,5,coffee,"I highly recommend this place, masarap ang food and great service.",Customer Service
Matcha Bar - Marfori,1,matcha,Your space might be small but you're not cheap.,Facilities and Amenities
Barok Cafe & Resto,3,coffee,"They're not particularly friendly or polite, but at least they're not rude.",Customer Service
Thirty Third Café,5,coffee,My favorite and go-to coffee shop when I pass through Agdao.,Product Quality
Matcha Ureshi Bar,5,matcha,The matcha was really good ♡,Product Quality
Isolate Coffee Shop,5,coffee,"The coffee is excellent, and the staff are accommodating.",Product Quality
Inherent Coffee,5,coffee,There's also free unlimited wifi and socket incase you need to charge.,Facilities and Amenities
STASH Coffee Co.,5,coffee,Good coffee!,Product Quality
Coffee For Peace at One Oasis,5,coffee,Excellent coffee… A luxury,Product Quality
The Coffee Bar at GMall of Davao,5,coffee,Great food good ambiance,Ambiance and Atmosphere
Coffeefolks Cafe,5,coffee,Coffee taste really nice yellow_heart  …,Product Quality
The Bloom Coffee & Start-Up Space,2,coffee,I have my own place to study and work so the 24-7 hours and condusive study environment are benefits that are lost on me.,Store Operations and Accessibility
